n_concurrent;time_ns
1;1920712700
1;1335856300
1;4285862000
1;3578473800
1;5905373100
4;2655393400
4;56846500
4;335119100
4;4020102900
4;514733900
4;4764628300
4;1811138700
4;385242300
4;400464600
4;2308163400
4;6921086700
4;1740966900
4;3685786200
4;1409442200
4;486230200
4;1650292100
4;5712087500
4;6342294200
4;2391935300
8;139600500
8;1763407700
8;2242518000
8;3977847200
8;4202873300
8;4802596600
8;4930702900
8;259946800
8;5245134300
8;3545003300
8;982171800
8;1654232400
8;5716597600
8;161030300
8;642348700
8;1764496700
8;2249590300
8;423352900
8;6282901500
8;2155589900
8;4206250900
8;1401002400
8;4327504500
8;5757800900
8;337878800
8;2118541700
8;1855155800
8;2855407400
8;3794826700
8;5362967500
32;689541500
32;1369207700
32;1752257400
32;2173217700
32;3057928600
32;3327599400
32;3531224600
32;3899807900
32;5398263700
32;5606012400
32;5879681700
32;6514848400
32;6648476300
32;8265118900
32;9935795700
32;10150287400
32;10835936000
32;11242314800
32;11331502200
32;11559687900
32;11664628900
32;11789800700
32;13088465100
32;13140128900
32;13544079100
32;13614571600
32;13705998700
32;15192192300
32;15399098700
1;1770324700
1;414710600
1;2241914000
1;1928484500
1;4180340300
1;5742802300
1;4334414200
1;3781722300
4;2443677100
4;3874656600
4;4402592900
4;5063934500
4;2268498400
8;197357000
8;729032200
8;1020880300
8;1476446500
8;2308326000
8;2575471000
8;2601316700
8;2951552900
8;98929900
8;4203908300
8;5288234600
8;331196400
8;362266600
8;3918596300
8;5907647400
8;4906209600
8;666870000
8;2927816700
8;6600140000
8;7097931300
8;2543770600
8;2799066900
8;2955079000
8;2169462700
8;1302934000
8;4575868300
8;3775649100
8;1968387800
8;6351264100
32;486144500
32;1695305600
32;2224083600
32;2257858800
32;2672724800
32;2810168700
32;3044332800
32;3707773500
32;4423083300
32;4625822300
32;6759319400
32;7731363400
32;7788473600
32;8488973100
32;8539605300
32;9070304600
32;9544482800
32;9566115600
32;9795662900
32;10246055600
32;11032610400
32;11414301300
32;12660542000
32;13168907400
32;15124342800
32;15615308300
1;3049696500
1;871467500
1;1267336400
1;475083000
1;142514200
4;291940000
4;585946800
4;710427100
4;1030475700
4;3618568300
4;5145751500
4;373444300
4;2218933600
4;7127711200
4;3366306100
4;6810502300
4;2013375200
4;5840813500
4;138866800
32;455524000
32;670389500
32;747503400
32;959068200
32;1269494100
32;1414718100
32;1684017700
32;1877990400
32;3265515900
32;3363317000
32;3496878800
32;4835925100
32;4931254700
32;5220586000
32;5422710600
32;5717046100
32;5765512500
32;6193756300
32;6288894100
32;7299382700
32;8085229700
32;8307950800
32;8560986500
32;9856670500
32;9947294400
32;10656423400
32;11080366000
32;11138236500
32;11396783100
32;11855808600
