n_concurrent;is_symmetric;time_ns
1;1;760700
1;0;604500
1;1;903000
1;0;396200
1;1;519600
1;0;425600
1;1;513200
1;0;334600
1;1;579400
1;0;391800
1;1;523800
1;0;369900
1;1;638900
1;0;316500
1;1;536600
1;0;341600
1;1;343900
1;0;303300
1;1;323600
1;0;306600
1;1;441200
1;0;321400
1;1;476000
1;0;391000
1;1;354400
1;0;328700
1;1;340300
1;0;355700
1;1;336700
1;0;369700
1;1;328900
1;0;304000
1;1;441600
1;0;343100
1;1;332000
1;0;330400
1;1;3376200
1;0;423000
1;1;410600
1;0;319900
1;1;369400
1;0;317500
1;1;586000
1;0;365300
1;1;349900
1;0;348100
1;1;301500
1;0;313600
1;1;345000
1;0;431700
1;1;345200
1;0;337600
1;1;303500
1;0;326600
1;1;324100
1;0;327100
1;1;392200
1;0;342600
1;1;341100
1;0;295400
1;1;369300
1;0;317900
1;1;369100
1;0;804800
1;1;863800
1;0;418400
1;1;606900
1;0;331000
1;1;728700
1;0;343800
1;1;608700
1;0;345800
1;1;489000
1;0;335600
1;1;641800
1;0;333900
1;1;551700
1;0;350000
1;1;482100
1;0;431100
1;1;426400
1;0;348000
1;1;489800
1;0;455100
1;1;510300
1;0;534800
1;1;459000
1;0;341900
1;1;334500
1;0;348400
1;1;430400
1;0;459000
1;1;739300
1;0;330700
1;1;296100
1;0;336200
1;1;427700
1;0;394700
1;1;346100
1;0;323400
1;1;393800
1;0;393500
1;1;321900
1;0;294300
1;1;451500
1;0;345200
1;1;338400
1;0;319200
1;1;297100
1;0;366900
1;1;319300
1;0;469400
1;1;327600
1;0;479800
1;1;264700
1;0;302800
1;1;274000
1;0;396100
1;1;287400
1;0;279700
1;1;537700
1;0;366500
1;1;292900
1;0;368300
1;1;333500
1;0;344400
1;1;362000
1;0;726400
4;1;909400
4;0;716100
4;1;701000
4;0;836900
4;1;600700
4;0;652300
4;1;544500
4;0;521100
4;1;547100
4;0;583100
4;1;630800
4;0;373900
4;1;468300
4;0;530300
