n_concurrent;time_ns
1;27338000
1;9137200
1;13409300
1;10298000
1;8813200
1;9966100
1;11045600
1;11816800
1;9406400
1;9010800
1;8446200
1;18252100
1;6672800
1;7433000
1;8652700
1;6987900
1;6054900
1;10781600
1;9940400
1;9837400
1;7688200
1;11770800
1;8395100
1;10037000
1;6803700
1;58012200
1;35910800
1;19039900
1;7068500
1;6537800
1;8001900
1;8838000
32;3256328900
32;7029400
8;25352200
8;16641300
8;10064600
8;7739900
8;9009700
8;10507500
8;7250000
8;13937900
8;6336500
8;4669200
8;9247000
8;13110300
8;7586700
8;8398600
8;8346300
8;567280300
8;173683200
8;242510600
8;5838100
8;4962200
8;6602600
8;7763700
8;5328500
8;8631600
8;6002600
8;8366200
8;7163900
8;8282700
8;25739800
8;15923100
8;8505000
8;8882300
8;8357500
8;11268700
8;7047000
8;7411200
8;6998700
8;6119700
8;11671300
8;7385300
8;6076100
8;7090000
8;9412400
8;5506600
8;5734900
8;7942000
8;5713800
8;5104300
8;5578100
8;5871300
8;5245800
8;5669400
8;6090500
8;8411900
8;4731100
8;5614500
8;5687200
8;6125100
8;4732800
1;38706800
1;112899200
1;8836200
1;8594500
1;9794500
1;10892600
1;11040700
1;9836000
1;32962500
1;66406200
1;10168400
1;10582400
1;8165500
1;6797400
1;6830700
1;6779000
1;8274400
1;8036900
1;7375000
1;11568900
1;6364600
1;7745300
1;6263300
1;6188300
1;9443800
1;6673500
1;18245200
1;7713500
1;7693300
1;7875300
1;7017300
1;7046200
4;171341300
4;11900300
4;12421400
4;7192300
4;10743100
4;9803800
4;11172700
4;7827300
4;5994200
4;6043400
4;6540000
4;14205800
4;8831800
4;7552900
4;8280600
4;7361200
4;5855300
4;7160400
4;5720900
4;5003300
4;7208700
4;7119400
4;6142000
4;6252100
4;5640700
4;9370200
4;5925300
4;5780800
4;5829100
32;23617400
32;7508200
32;5638000
32;5773945700
32;1515224800
32;1962201400
32;5856200
32;5596300
32;5489300
32;6414500
8;128239200
8;8122600
8;7861900
8;7341200
8;9219600
8;8961700
8;6323800
8;7941700
8;6572700
8;6073000
8;8226400
8;7137200
8;7734700
8;15065500
8;5606000
8;6361300
8;6719800
8;102316800
8;614085300
8;7431600
8;5499800
8;7498400
8;5709700
8;5085300
8;4946200
8;10068800
8;5032000
8;6436200
8;6828600
8;14010900
