n_concurrent;time_ns
1;69107200
1;3129000
1;1668600
1;1449600
1;1953400
1;2536500
1;2507300
1;2821000
1;2900100
1;1555600
1;1387900
1;802300
1;769500
1;854800
1;738900
1;769200
1;678400
1;508300
1;538900
1;506500
1;499100
1;748900
1;733700
1;749200
1;744600
1;732400
1;569700
1;434600
1;476500
1;370200
1;284200
1;285000
1;51401800
1;1553400
1;1311500
1;1239500
1;1284400
1;1232000
1;1957400
1;2383000
1;2192000
1;1133500
1;991100
1;1061200
1;980300
1;1257000
1;1043000
1;1002100
1;737000
1;729100
1;776700
1;747900
1;746600
1;741500
1;723300
1;532200
1;532900
1;562800
1;542900
1;483200
1;419500
1;365000
1;372100
1;335300
4;58485100
4;60341500
4;58365700
4;59720700
4;644800
4;842700
4;829900
4;903100
4;545100
4;395400
4;353600
4;534000
4;505300
4;487600
4;488300
4;629100
4;474600
4;561800
4;381100
4;513500
4;529600
4;440400
4;341200
4;536400
4;276200
4;281400
4;343300
4;295100
4;348000
4;397400
4;257100
4;284000
8;64527800
8;66700500
8;67277500
8;66070200
8;65963600
8;67709700
8;67600900
8;69066900
8;870600
8;1032900
8;880000
8;898900
8;414200
8;440400
8;586700
8;522000
8;579200
8;334700
8;571100
8;586100
8;982900
8;1458000
8;462700
8;435700
8;346800
8;319000
8;312800
8;509900
8;536600
8;431500
8;413300
8;438400
32;166964000
32;176013900
32;166552300
32;176305700
32;177504600
32;167327300
32;185054100
32;179086400
32;183534300
32;187557500
32;179823800
32;185416100
32;181739100
32;184694000
32;188991800
32;183511000
32;193609500
32;192074300
32;195024000
32;192425500
32;188727600
32;193313000
32;200037300
32;198538400
32;202416600
32;203139000
32;197681300
32;203741400
32;202465900
32;197157500
32;200136600
32;199417200
4;71602400
4;71707500
4;72206200
4;72505300
4;924700
4;748900
4;660600
4;555100
4;568600
4;476900
4;328500
4;355500
4;320000
4;292600
4;579700
4;552400
4;403800
4;481400
4;322600
4;272000
4;277000
4;320600
4;511200
4;274000
4;323800
4;249400
4;361900
4;319100
4;298100
4;252800
4;316100
4;274400
8;65732400
8;67118700
8;67577300
8;65393000
8;66228100
8;66839200
8;69033300
8;68299000
8;1070300
8;864200
8;1342700
8;921800
8;556300
8;376800
8;376200
8;482600
8;571100
8;372400
8;609400
8;545100
8;532400
8;456200
8;294700
8;513800
8;485000
8;473500
8;492400
8;288000
8;499100
8;307300
8;334600
8;444000
32;209747700
32;200928400
32;205153800
32;222381000
32;224462900
32;225589200
32;223445900
32;223610700
32;223522200
32;226249100
32;224158300
32;227874300
32;229633200
32;228511600
32;227700500
32;229161400
32;227278900
32;231124500
32;228957800
32;232656500
32;231628300
32;231102600
32;232852900
32;232300700
32;234642000
32;233030600
32;231060400
32;230000500
32;232042100
32;232239000
32;235601700
32;231604900
